Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
Which of the following best describes a model-driven app?;App with business logic involving Common Data Service/Dataverse.;App with public-facing website that users can interact with.;App with visualizations in the form of reports and dashboards.;App with fully customizable user interface.;A;Model-driven apps are built on Dataverse and incorporate business logic and processes.
Your organization uses Power BI to create reports and dashboards. Which of the following could you use to share reports and dashboard for collaboration?;Template apps;Power BI Desktop;Power Query Editor;Workspaces;D;Workspaces in Power BI are used to share and collaborate on reports and dashboards.
You have created a DLP policy in which Twitter is classified as a Non-Business connector. How would you scope this policy to ensure this policy includes your entire organization?;Create a policy for each environment scoped to one environment per policy.;Include all environments.;Include all environments, but exclude selected environments.;Exclude all environments.;B;Including all environments ensures the DLP policy applies across the organization.
Which of the following do bots use to identify information from a user's input?;Variables;Message nodes;Topics;Entities;D;Entities are used by bots to extract specific information from user input.
Which of the following best describes Power Automate?;A tool for building workflows.;A tool for storing data in the Power Platform.;A tool for crafting data visualizations.;A tool for creating applications.;A;Power Automate is a tool designed for automating workflows and processes.
Your team wants to create a data model between various datasets. Which of the following tools can you use to do this?;Power BI service;Template apps;Power BI Mobile;Power BI Desktop;D;Power BI Desktop allows you to create and manage data models.
You have an existing canvas app running on the original and only version created so far. A member of your team has made a new version of the app. These app updates have broken business-critical functionality. In response, you restore the app to the previous original version to troubleshoot the changes in the new version. How many versions of the app will exist after restoring it?;Four;One;Two;Three;C;After restoring the app, there will be two versions— the original and the restored one.
Which of the following defines the relation among data stored in the Common Data Service/Dataverse?;Entities/tables;Records/rows;Fields/columns;Relationships;D;Relationships define how data entities interact and relate to each other in Dataverse.
Using the Power Platform, you want to create a website that can be accessed by anonymous and authenticated users. The website should allow users to authenticate using commercial login providers like LinkedIn, Facebook, or Microsoft. You also want to integrate enterprise login providers like SAML2, OpenId Connect, and WS-Fed. What Power Platform tool should you use in your solution?;Portal apps;Canvas apps;Model-driven apps;SharePoint;A;Portal apps allow for integration with multiple login providers and support both anonymous and authenticated access.
What takes place in the Power Query Editor?;Visualizing data;Modeling data;Sharing data;Transforming data;D;Power Query Editor is used to transform and shape data before loading it into reports.
Your customer uses Azure SQL Database, and they want to use this database as a data source for creating Power BI reports. Which of the following Power BI tools could you use?;Power Query Editor;Power BI Mobile;Power BI Desktop;Power BI service;C;Power BI Desktop is used to connect to and create reports from various data sources, including Azure SQL Database.
You want to determine your Microsoft 365 usage. Which of the following can you use to determine this most readily?;Canvas apps;Entities;Template apps;Workspaces;C;Template apps provide pre-built analytics and reports, including those for Microsoft 365 usage.
Which of the Power Platform tools can you use to perform analytics on data that can be shared within your organization?;Power BI;Power Automate;Power Virtual Agents;Power Apps;A;Power BI is the tool designed for data analytics and sharing insights across the organization.
You want to protect connectors from data loss in the Power Platform. Which of the following would you use to do this?;Environment roles;Security roles;DLP policies;Common Data Service/Dataverse;C;DLP (Data Loss Prevention) policies are used to manage and restrict data movement in Power Platform.
Which of the features listed is a feature of chatbots?;Training AI models;Calling Power Automate flows from actions;Publishing reports and dashboards;Refreshing data sources in applications;B;Chatbots can call Power Automate flows based on user interactions.
You have created a model-driven app and you want to implement data-level logic to hide/show a field. Which of the following can you use to implement this logic?;Business rule;Forms;Business process flow;Views;A;Business rules can be used to implement data-level logic, such as hiding or showing fields.
You want to enable your finance team at Cloud Chase Inc. to create apps in Power Apps using their existing Excel skills. Also, this team wants to use data from multiple data sources simultaneously, such as CDS entities, OneDrive, and on-premises data using a data gateway. Which of the following types of applications will support this?;Power Apps doesn't support utilizing many data sources simultaneously.;Portal apps;Model-driven apps;Canvas apps;D;Canvas apps allow integration with multiple data sources and can leverage Excel skills.
In the Power Platform, you have access to entities from the Common Data Model known as _______? (fill in the blank);Custom entities;Standard entities;Open Data Initiative;CDS entities;B;Standard entities are predefined entities available within the Common Data Model.
Which of the following core components of the Power Platform acts as your common database solution for the Power Platform?;Common Data Service/Dataverse;Dynamics 365;SharePoint;Azure Storage;A;Dataverse (Common Data Service) is the database solution for Power Platform resources.
You have implemented an instant flow. In what way can you expect the instant flow to be triggered?;Receiving email;Scheduled interval trigger;New table creation in Dataverse;Button click;D;Instant flows are triggered manually by the user via a button click.
You want to enable users to create custom applications using Excel-like formulas. Which of the following tools from the Power Platform provide this functionality?;Business process flows;Model-driven apps;Portal apps;Canvas apps;D;Canvas apps allow users to build apps with an Excel-like formula language.
You want to implement an action in your flow that will act on each item from an array. Which of the following type of actions would you use?;Apply to Each;Switch;Do Until;Loops;A;The "Apply to Each" action processes each item in an array sequentially.
Which of the following allow your flows to access data from multiple data sources?;Entities;Connectors;Common Data Model;Relationships;B;Connectors enable flows to interact with multiple data sources across different platforms.
Which of the following is a type of cloud flow?;Business process flows;Desktop flows;Scheduled flows;File flows;C;Scheduled flows are cloud flows that run at specific times or intervals.
Which of the following is a type of cloud flow?;Workflow flows;Instant flows;Business process flows;File flows;B;Instant flows are cloud flows that trigger manually when needed by the user.
Which of the following is a type of cloud flow?;Automation flows;Data flows;Desktop flows;Automated flows;D;Automated flows are cloud flows that run automatically based on triggers and conditions.
Which of the following is not a type of cloud flow?;Instant flows;Business process flows;Automated flows;Scheduled flows;B;Business process flows are not categorized as cloud flows, they guide users through a process.
Which of the following is not a type of cloud flow?;Scheduled flows;Desktop flows;Automated flows;Instant flows;B;Desktop flows are related to desktop automation and are part of Power Automate Desktop, not cloud flows.
Which of the following business applications is part of the Power Platform?;OneDrive;Teams;Power Apps;SharePoint;C;Power Apps is a core component of the Power Platform, enabling users to build custom business applications.
Which of the following business applications is part of the Power Platform?;Yammer;Power Virtual Agents;Teams;Excel;B;Power Virtual Agents is a part of the Power Platform, used to build intelligent chatbots without coding.
Which of the following business applications is part of the Power Platform?;PowerPoint;Word;Automate;OneNote;C;Power Automate (formerly known as Microsoft Flow) is a part of the Power Platform, allowing for workflow automation.
Which of the following business applications is part of the Power Platform?;Power BI;Visio;Teams;Outlook;A;Power BI is a Power Platform component designed for business analytics and visualization.
Which of the following provides the business value of connecting multiple data sources in your Power Platform resources?;AI Builder;Common Data Service/Dataverse;Power BI;Connectors;D;Connectors allow Power Platform resources to connect and interact with multiple data sources efficiently.
Which of the following provides the business value of connecting multiple data sources in your Power Platform resources?;Power BI;AI Builder;Connectors;Microsoft Teams;C;Connectors enable Power Platform resources to communicate with various data sources, enhancing integration and data flow.
Which of the following provides the business value of connecting multiple data sources in your Power Platform resources?;Common Data Service/Dataverse;AI Builder;Power Automate;Connectors;D;Connectors play a key role in integrating and connecting data from multiple sources in Power Platform solutions.
Which of the following provides the business value of connecting multiple data sources in your Power Platform resources?;AI Builder;Power BI;Common Data Service/Dataverse;Microsoft Dynamics 365;C;Common Data Service/Dataverse is primarily used for data storage and management, not specifically for connecting multiple data sources.
You want to protect connectors from data loss in the Power Platform. Which of the following would you use to do this?;DLP policies;Environment roles;Security roles;Common Data Service/Dataverse;A;You would implement DLP policies to prevent data loss. DLP policies allow you to classify your connectors and prevent different class connectors from interacting with one another.
Which of the following defines the relation among data stored in the Common Data Service/Dataverse?;Fields/columns;Entities/tables;Records/rows;Relationships;D;Relationships define the relation between entities stored in the Common Data Service/Dataverse.
You have a bar chart with a data field named Confirmed Events. What aggregate function can you use on the data field to determine the total of all aggregated values?;Count;Maximum;Average;Sum;D;You can use the sum aggregate function to get the total of all the aggregated values from the Confirmed Events data field.
You want to determine your Microsoft 365 usage. Which of the following can you use to determine this most readily?;Workspaces;Template apps;Canvas apps;Entities;B;You can use a template app for getting Microsoft 365 usage readily in a prepackaged application. All you have to do is bring your data.
You are using Power BI to transform your data. Which of the following tools do you use to perform transformation to your data?;Power Query Editor;Power BI service;Power BI Desktop;Power BI Mobile;A;You use the Power Query Editor to transform your data when you want to clean it up for visualizing later.
Your company has recently started using Power Apps to enable employees to create applications. You need an internal-facing application that you can build from your existing business data.;Portal apps;Canvas apps;Model-driven apps;Power Virtual Agents;C;Model-driven apps can build internal-facing applications using custom entities in Dataverse.
Which type of Power Apps application is best suited for building an app from existing modeled data using a no-code approach, where the application is automatically generated based on the data model?;Portal apps;Canvas apps;Power BI apps;Model-driven apps;D;Model-driven apps would be perfect for building an application from modeled data using a no-code approach. You simply have to model your data, and the app will create itself using this data.Video for reference: "Creating Model-Driven Apps": Microsoft Documentation: https://docs.microsoft.com/en-us/powerapps/maker/model-driven-apps/model-driven-app-overview
Which of the following statements are true about the features of Power Automate flows?;You can add multiple triggers inside of each flow.;You can't modify flow templates by adding additional actions.;You can use flows to create automations without writing code.;You need a code editor to peek the code of your flows.;C;Yes, you can use flows to create automations using components such as triggers and actions that are pre-built. You do not have to write a single line of code.
You want to synchronize files within OneDrive. Using Power Platform, which of the following tools would take the action of syncing the files?;Connectors;Power Apps;Power Automate;Common Data Service/Dataverse;C;Power Automate can be used to synchronize files within OneDrive automatically by detecting a change to a file.
Which of the following can be described as an entry of data into an entity/table?;Relationships;Fields/columns;Rows/records;Option sets/choices;C;Rows/records are the individual data entries that can be stored in an entity/table.
You work for The Cloud Chase Inc., a multi-service provider IT company, as the lead support tech on your support team. You have been tasked with demonstrating Power Platform solutions. You want to create a public-facing application that both authenticated and unauthenticated users can interact with.;Portal apps;Canvas apps;Model-driven apps;Power Virtual Agents;A;Portal apps are designed for creating public-facing applications that allow interaction from both authenticated and unauthenticated users. 
You work at Cloud Chase Inc. as the Microsoft architect. You already use Microsoft 365 applications in your organization. You want to identify which of the following Microsoft apps you can consume in Power Apps. Which of the following do you identify?;Google Drive;OneDrive;Dropbox;Twitter;B;You can consume data from Microsoft OneDrive in your Power Platform solutions. Video for reference: "Extending Business Solutions"
Your customer uses Azure SQL Database, and they want to use this database as a data source for creating Power BI reports. Which of the following Power BI tools could you use?;Power Query Editor;Power BI Desktop;Power BI Mobile;Power BI service;B;Power BI Desktop can use Azure SQL Database as a data source to get a dataset for creating a report.
You have created a chatbot and you want to analyze how many users are interacting with it. How would you do this?;Monitor usage;Monitor performance;Test a chatbot;Publish a chatbot;A;Monitoring usage will help in analyzing how many users are interacting with your bots.
Your company Cloud Chase Inc. has recently used canvas apps to create an HR (Human Resources) app that will be used as an index of employees. You are still building out the application's features. What type of control can you use to show a listing of all employee records and information such as photo, name, department, and contact information for each employee record?;Gallery control;Edit form control;List Box control;Text input control;A;A Gallery control can be used to show a listing of employee records with information such as photo, name, department, and contact details.In contrast, An Edit form control is used to edit and create individual records. It is not used to display a listing of records and the different data they contain.Video for reference: "Creating Canvas Apps": Microsoft Documentation: https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/reference-properties
Which of the following statements is true in regards to the Power Platform?;Power BI Query Editor is used to transform data.;The Power BI service is used to model.;Power BI Desktop is used to share data for collaboration.;Power BI Mobile is used to create reports.;A;Power BI Query Editor is used to transform data.
You have created a model-driven app and you wat to implement data-level logic to hide/show a field. Which of the following can you use to implement this logic?;Forms;Views;Business rule;Business process flow;C;You can use a business rule to implement data logic that will hide/show a field.
Your company manages a fleet of vehicles that technicians use on a daily basis. You want to create a mobile application with camera controls that allows your technicians to upload photos of their vehicle at the start of each shift. This solution will replace your manual vehicle inspection process. Which of the following apps allows us to do this?;Portal apps;Power BI apps;Canvas apps;Model-driven apps;C;Canvas apps can be used to create mobile applications with camera controls. You could use this solution to create the application that will replace your manual vehicle inspection process.Video for reference: "Creating Canvas Apps": Microsoft Documentation: https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/reference-properties
Using the Power Platform, you want to create a website that can be accessed by anonymous and authenticated users. The website should allow users to authenticate using commercial login providers like LinkedIn, Facebook, or Microsoft. You also want to integrate enterprise login providers like SAML2, OpenId Connect, and WS-Fed. What Power Platform tool should you use in your solution?;SharePoint;Model-driven apps;Canvas apps;Portal apps;D;Portal apps are specifically built for this purpose. Portal apps are used to create websites that can be accessed by anonymous and authenticated users. Portal apps also utilizes commercial and enterprise login providers that are requested in this solution. Video for reference: "Creating Portal Apps": Microsoft Documentation: https://docs.microsoft.com/en-us/powerapps/maker/portals/configure/configure-portal-authentication
Your organization uses Power BI to create reports and dashboards. Which of the following could you use to share reports and dashboard for collaboration?;Template apps;Power BI Desktop;Power Query Editor;Workspaces;D;You can use workspaces to share reports and dashboards for collaboration.
In which of the following portals can you administer your environments?;Azure portal;Microsoft 365 admin center;Power Platform admin center;Power Apps portals;C;The Power Platform admin center is specifically designed to manage and administer your Power Platform environments. It allows administrators to create, manage, and monitor environments, configure data policies, and manage access and roles, providing centralized control over all Power Platform resources.
Which of the following allow your flows to access data from multiple data sources?;Common Data Model;Relationships;Connectors;Entities;C;Using connectors, you can allow your flows to access data from multiple data sources.
Which of the following best describes Power Automate?;A tool for building workflows.;A tool for creating applications.;A tool for crafting data visualizations.;A tool for storing data in the Power Platform.;A;Power Automate is a tool for building workflows that automate a task.
Which of the following best describes a model-driven app?;App with public-facing website that users can interact with.;App with visualizations in the form of reports and dashboards.;App with fully customizable user interface.;App with business logic involving Common Data Service/Dataverse.;D;This best matches a model-driven app because they are apps with business logic that run on data in the Common Data Service/Dataverse. Video for reference: Model-Driven Apps: Microsoft Documentation: https://docs.microsoft.com/en-us/powerapps/maker/ & model-driven-apps/model-driven-app-overview
Which of the following core components of the Power Platform acts as your common database solution for the Power Platform?;Common Data Service/Dataverse;SharePoint;Dynamics 365;Azure Storage;A;Common Data Service/Dataverse is the common database solution that is natively built into the Power Platform. You can store all your data here by modeling it in entities.
Your organization wants to automate support engagements. Which of the following can you use to create chatbots?;Power Automate;Portal apps;AI Builder;Power Virtual Agents;D;You use Power Virtual Agents to create chatbots.
You have created a DLP policy in which Twitter is classified as a Non-Business connector. How would you scope this policy to ensure this policy includes your entire organization?;Include all environments.;Include all environments, but exclude selected environments.;Create a policy for each environment scoped to one environment per policy.;Exclude all environments.;A;You assign your DLP policies to a scope. To ensure that a policy is applied to your entire organization, you would apply the policy at the scope of including all environments.
You work for an organization that wants to create visualizations from datasets. Which of the following Power Platform solutions should you use?;Power BI;Power Automate;AI Builder;Power Apps;A;You would use the Power BI to create visualizations.
Which of these components can be used to create a single entity/table?;Records and relationships;Fields and relationships;Fields and records;Attributes and relationships;C;Fields and records can be used to create a single entity/table. In fact, they are the main components that each entity is made of.
Which of the features listed is a feature of chatbots?;Calling Power Automate flows from actions;Training AI models;Refreshing data sources in applications;Publishing reports and dashboards;A;Calling Power Automate flows from actions in a topic is a feature of chatbots.
You want to enable your finance team at Cloud Chase Inc. to create apps in Power Apps using their existing Excel skills. Also, this team wants to use data from multiple data sources simultaneously, such as CDS entities, OneDrive, and on-premises data using a data gateway. Which of the following types of applications will support this?;Portal apps;Canvas apps;Model-driven apps;Power Apps doesn't support utilizing many data sources simultaneously;B;Canvas apps will allow your finance team to use their existing Excel skills to create an app using data from multiple data sources. Video for reference: "Creating Canvas Apps" Microsoft Documentation: https://docs.microsoft.com/en-us/learn/paths/create-powerapps/
You want to prevent any Power Platform resources in your production environment from using Facebook connectors. How would you classify the Facebook connector in your DLP policy to prevent it from being used?;Business;Non-Business;Prevented;Blocked;D;You classify connectors as Blocked when you want to prevent them from being used in Power Platform environment.
You need to create a flow that will send a push notification to your social media manager anytime a student uses your company's hashtag so they can keep up with engagements more easily. What type of flow do you need to implement?;Business process flow;Automated flow;Desktop flow;Instant flow;B;You would use an automated flow so that you can trigger a flow anytime a user posts a tweet using the hashtag that you have specified in your flow. The flow can then take action to send an email notification to your social media manager.
You want to implement an action in your flow that will act on each item from an array. Which of the following type of actions would you use?;Do Until;Apply to Each;Loops;Switch;B;You would use Apply to Each to have your flow act on each item in an array.
Which of the following best describes an environment?;An Azure AD tenant.;An isolated space to store, manage, and share Power Platform data and resources.;A Database-as-a-Service storage solution that can be utilized by the Power Platform.;A geographical region.;B;An environment is best described as an isolated space to store, manage, and share Power Platform data and resources.
Which of the following is a business application of the Power Platform that provides the ability to create applications?;Power Apps;Microsoft Teams;OneDrive;Microsoft Word;A;Power Apps is a business application of the Power Platform that provides the ability to create applications.
Which of the following is a business application of the Power Platform that provides the ability to create visualizations, reports, dashboards, and workspaces?;Microsoft Excel;OneDrive;Power BI;Microsoft Teams;C;Power BI is a business application of the Power Platform that provides the ability to create visualizations, reports, dashboards, and workspaces.
Which of the following is a business application of the Power Platform that provides the ability to create chatbots?;Power Automate;Power Apps;Power BI;Power Virtual Agents;D;Power Virtual Agents is a business application of the Power Platform that provides the ability to create chatbots.
Which of the following is a business application of the Power Platform that provides the ability to automate workflows?;OneDrive;Power Automate;Microsoft Teams;Microsoft Excel;B;Power Automate is a business application of the Power Platform that provides the ability to automate workflows.
Which of the following is a type of cloud flow that is triggered based on a scheduled interval to perform an automation?;Business process flows;Desktop flows;Scheduled flows;Instant flows;C;Scheduled flows are a type of cloud flow that are triggered on a scheduled interval to perform an automation. This can be great for use cases in which you know that a task must happen on a regular schedule.
Which of the following is a type of cloud flow that is triggered based on an event?;Instant flows;Business process flows;Scheduled flows;Automated flows;D;Automated flows are a type of cloud flow that are triggered based on an event. For example, you can poll your email's inbox for attachments and send a push notification when attachments are received.
Which of the following is a type of cloud flow that can be triggered instantly with the click of a button to automate repetitive tasks?;Instant flows;Business process flows;Desktop flows;Automated flows;A;Instant flows are a type of cloud flow that you can trigger instantly using no more than a click of a button to automate repetitive tasks.
You need to connect your on-premises API with your Power Platform tenant, so you can import and use the data available in your API. Also, you want to be sure that only you can use this connection. What should you use?;Common data service;Power Platform Gateway API;Power Platform Import Job with Data Protection Policy;Data Gateway Personal Mode;D;Data Gateway Personal Mode allows you to connect your on-premises data securely and ensures only you have access.
What type of data sources can you use with your Canvas apps?;Both internal and external sources in the same app.;Internal data sources only;Either internal or external data sources in the same app;External data sources;A;Canvas apps allow the integration of both internal and external data sources within a single app.
You are building a solution in the Power Platform and you need to use external data. What feature or service, available in the Power Platform, should you use?;Common Data Service (CDS);Azure Management API;Azure SQL DB;Connectors;D;Connectors in Power Platform enable access to external data sources for use within apps, flows, and bots.
You need to build a flow to send a notification to your manager anytime a new resource is created in a shared environment. You plan to use a template to reduce the efforts and time to build your flow. Where can you access the templates?;By downloading & installing the template pack from Power Platform Admin Centre;By downloading the Power Platform Starter Kit and installing the template available using the Power Platform Admin Centre;By downloading & install the template pack for the Power Platform Design Centre;By using the Power Automate Website;D;Power Automate Website offers pre-built templates that simplify and accelerate flow creation.
Your customers use a chat bot. Upon reviewing the bot's Analytics, you realize that the bot is escalating to Live agents many times, since the bot is not able to determine the user's intent. You want to customize the process of the bot trying to clarify user's intent, before escalating to the Live agent. What should you do?;Add an additional topic and transfer to that topic;Add a call to action and execute a Power Automate flow;Add a default action to the bot if the bot is not able to determine the user’s intent;Add a fallback topic;D;A fallback topic allows the bot to attempt to clarify the user's intent before escalating to a live agent.
You need to import business data from multiple sources into your Power BI workspace, so you can use the data in your reports and dashboards. Also, you need to transform the data during the import process and ensure that the data is refreshed from time to time. What element should you use?;Workbooks;Dataflows;Capacities;Datasets;B;Dataflows allow for data import, transformation, and scheduled refreshes in Power BI.
You need to build a flow that will execute everytime a file is uploaded to a shared OneDrive folder. Which flow should you use?;UI Flow;Business Process Flow;Automated Flow;Scheduled Flow;C;Automated Flow runs based on events, such as a file upload, making it the correct choice for this scenario.
What are the four products available in the Power Platform?;Power UI, Power AI, Power BI & Power Automate;Power BI, Power Apps, Power Automate and Power Virtual Agents;Power Apps, Power Insights, Power AI & Power Automate;Power Apps, Power Autome, Power BI & Power AI Agents;B;The Power Platform includes Power BI, Power Apps, Power Automate, and Power Virtual Agents.
You want to build a mobile app using Power Apps that allows you to have full control over the user experience and design. What type of app should you build?;Model-Driven App;Portal App;Microsoft Form;Canvas App;D;Canvas Apps allow full customization and control over the design and user experience, making them ideal for mobile app development.
Which tool or service can you use to transform data while importing data to Common Data Service?;Power Data;Power Query;Power Transform;Power BI;B;Power Query is a tool that allows you to transform and clean data before importing it into Common Data Service.
What is the common database solution for the Power Platform?;AI Builder;Azure SQL;Connectors;Common Data Service;D;Common Data Service is the common database solution for the Power Platform, enabling seamless data integration and management.
Who is the Power Platform built for?;Citizen developers;Executives;Data scientists;Engineers;A;The Power Platform was built for citizen developers, enabling them to create solutions without needing a computer science background.
In which of these portals do we manage user licensing?;Power Apps portal;Microsoft 365 admin center;Power Platform admin center;Power BI portal;B;User licensing is managed through the Microsoft 365 admin center, which centralizes access to manage licenses.
What would we use as a bridge between our external data and the Power Platform?;Connectors;Common Data Service;Azure SQL;AI Builder;A;Connectors act as bridges to connect and integrate external data sources with the Power Platform.
What is the Power Platform?;A database solution;Suite of governance tools;Suite of business apps;Suite of developer tools;C;The Power Platform is a suite of business apps that enables users to create apps, workflows, bots, and reports/dashboards.
Which of these flows available are cloud flows?;Desktop flows;Business process flows;Scheduled flows;Instant flows;C;Scheduled flows are cloud flows triggered at specified intervals to automate tasks.
Which of these third-party applications can we use to accelerate the deployment of our Power Platform resources?;GitHub;Twitter;SharePoint;Teams;B;Twitter can be integrated with Power Platform to automate notifications and tasks, enhancing deployment efficiency.
What tool in the Power Platform is used to create visualizations from data?;Power BI;Power Virtual Agents;Power Apps;Power Automate;A;Power BI is used to create visualizations, reports, and dashboards from data within the Power Platform.
What tool in the Power Platform can we use to create automated workflows and processes?;Power Automate;Power Apps;Power BI;Power Virtual Agents;A;Power Automate is designed to build flows that automate workflows and processes within the Power Platform.
What tool in the Power Platform can we use to create applications?;Power Virtual Agents;Power BI;Power Apps;Power Automate;C;Power Apps is a tool that allows users to create various types of applications such as canvas apps, model-driven apps, and portal apps.
Which of these portals administer the Power Platform environments?;Power Platform admin center;Power Apps portal;Environment admin center;Power BI portal;A;The Power Platform admin center is the portal where environments are managed and administered.
What tool in the Power Platform can we use to create chatbots?;Power Apps;Power BI;Power Virtual Agents;Power Automate;C;Power Virtual Agents allows users to build AI-driven chatbots for automated user interactions within the Power Platform.
