Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
Your company's infrastructure includes a number of business units that each need a large number of various Azure resources for everyday operation. The resources required by each business unit are identical. You are required to sanction a strategy to create Azure resources automatically. Solution: You recommend that the Azure Resource Manager templates be included in the strategy. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous use case;A;The recommendation to include Azure Resource Manager (ARM) templates in the strategy fulfils the objective of creating Azure resources automatically. ARM templates allow you to define and deploy Azure infrastructure resources in an automated and repeatable way. With ARM templates  you can create identical resources for each business unit in a consistent and scalable way. Templates can be parameterised to meet the specific needs of each business unit  and you can deploy these templates automatically to create and manage resources in Azure according to your company's guidelines.
You are tasked with deploying a critical LOB (Line-Of-Business) application  which will be installed on a virtual machine  to Azure. You are informed that the application deployment strategy should allow for a guaranteed availability of 99.99% percent. You need to make sure that the strategy requires as little virtual machines and availability zones as possible. Solution: You include two virtual machines and one availability zone in your strategy. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous scenario;B;For all Virtual Machines that have two or more instances deployed across two or more Availability Zones in the same Azure region  we guarantee you will have Virtual Machine Connectivity to at least one instance at least 99.99% of the time. Whereas  for all Virtual Machines that have two or more instances deployed in the same Availability Set or in the same Dedicated Host Group  we guarantee you will have Virtual Machine Connectivity to at least one instance at least 99.95% (not 99.99%) of the time.
You are tasked with deploying a critical LOB (Line-Of-Business) application  which will be installed on a virtual machine  to Azure. You are informed that the application deployment strategy should allow for a guaranteed availability of 99.99% percent. You need to make sure that the strategy requires as little virtual machines and availability zones as possible. Solution: You include one virtual machine and two availability zones in your strategy. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous scenario;B;For all Virtual Machines that have TWO or more instances deployed across two or more Availability Zones in the same Azure region  we guarantee you will have Virtual Machine Connectivity to at least one instance at least 99.99% of the time. With Availability Zones  Azure offers industry best 99.99% VM uptime SLA. This requires a minimum of 2VMs and 2 AZ's. Anything less would give 99.95% availability. A VM can't be assigned to more than 1 AZ as doing so will create "n" VMs in each selected AZ.
You are tasked with deploying a critical LOB (Line-Of-Business) application  which will be installed on a virtual machine  to Azure. You are informed that the application deployment strategy should allow for a guaranteed availability of 99.99 percent. You need to make sure that the strategy requires as little virtual machines and availability zones as possible. Solution: You include two virtual machines and two availability zones in your strategy. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous scenario;A;Deploying two virtual machines across two availability zones can meet the goal of achieving 99.99% availability. Here’s why => Availability Zones: Using two availability zones provides high availability by ensuring that if one zone experiences a failure  the other zone can continue to operate  thereby reducing the risk of total service disruption. Virtual Machines: With two virtual machines spread across these availability zones  you achieve redundancy and fault tolerance. If one virtual machine fails  the other can handle the workload  ensuring continuous operation. This setup meets the requirements for high availability with minimal resource use  aligning with the goal of 99.99% availability.
Your company's developers intend to deploy a large number of custom virtual machines on a weekly basis. They will also be removing these virtual machines during the same week it was deployed. Sixty percent of the virtual machines have Windows Server 2016 installed  while the other forty percent has Ubuntu Linux installed. You are required to make sure that the administrative effort  needed for this process  is reduced by employing a suitable Azure service. Solution: You recommend the use of Microsoft Managed Desktop. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous scenario;B;The correct solution should be Azure DevTest Labs because it was mentioned that developers intend to deploy and remove VMs in the same week. Keyword is developers and deploy and remove. Most probably is it the test environment. So DevTest is correct answer and more relevant to this scenario.
Your company's developers intend to deploy a large number of custom virtual machines on a weekly basis. They will also be removing these virtual machines during the same week it was deployed. Sixty percent of the virtual machines have Windows Server 2016 installed  while the other forty percent has Ubuntu Linux installed. You are required to make sure that the administrative effort  needed for this process  is reduced by employing a suitable Azure service. Solution: You recommend the use of Azure Reserved Virtual Machines (VM) Instances. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous scenario;B;Azure Reserved Virtual Machine (VM) Instances are not the most suitable solution for deploying and managing a large number of custom virtual machines on a weekly basis that are also removed during the same week. Reserved VM Instances are used to save costs by committing to a specific VM instance type for a one- or three-year term  which is not aligned with the short-term and frequent deployment and removal pattern described in your scenario. To reduce administrative effort for your specific use case  you might consider using Azure DevTest Labs. Azure DevTest Labs allows you to quickly create environments in Azure while managing costs by setting up policies for resource usage. You can create a lab that aligns with your requirements  including Windows Server and Ubuntu Linux VMs  and allow your developers to deploy and remove VMs easily in a controlled environment. Therefore  the solution of using Azure Reserved VM Instances does not meet the goal of reducing administrative effort for deploying and managing a large number of custom virtual machines on a weekly basis that are also removed within the same week.
Your company's developers intend to deploy a large number of custom virtual machines on a weekly basis. They will also be removing these virtual machines during the same week it was deployed. Sixty percent of the virtual machines have Windows Server 2016 installed  while the other forty percent has Ubuntu Linux installed. You are required to make sure that the administrative effort  needed for this process  is reduced by employing a suitable Azure service. Solution: You recommend the use of Azure DevTest Labs. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous scenario;A;Azure DevTest Labs is an ideal solution for managing and automating the lifecycle of virtual machines  especially for scenarios where virtual machines are frequently created and deleted. Quickly provision development and test environments. Minimize waste with quotas and policies. Set automated shutdowns to minimize costs. Build Windows and Linux environments
Your company has virtual machines (VMs) hosted in Microsoft Azure. The VMs are located in a single Azure virtual network named VNet1. The company has users that work remotely. The remote workers require access to the VMs on VNet1. You need to provide access for the remote workers. What should you do?;Configure a Site-to-Site (S2S) VPN.;Configure a VNet-toVNet VPN.;Configure a Point-to-Site (P2S) VPN.;Configure DirectAccess on a Windows Server 2012 server VM.;C;A Point-to-Site (P2S) VPN gateway connection lets you create a secure connection to your virtual network from an individual client computer. References: https://docs.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways
You have been informed by your superiors of the company's intentions to automate server deployment to Azure. There is  however  some concern that administrative credentials could be uncovered during this process. You are required to make sure that during the deployment  the administrative credentials are encrypted using a suitable Azure solution. Solution: You recommend the use of Azure Information Protection. Does the solution meet the goal?;Yes;No;Not enough info;Ambiguous scenario;B;Azure Information Protection (AIP) is a cloud-based solution that enables organizations to discover  classify  and protect documents and emails by applying labels to content. Thus  it's not designed to encrypt management credentials during server deployment. For encrypting administrative credentials during server deployment to Azure  a more suitable solution would be to use Azure Key Vault. Azure Key Vault is a cloud service that allows you to safeguard cryptographic keys  certificates  and secrets used by cloud applications and services. You can store the administrative credentials securely in Azure Key Vault and retrieve them when needed during the deployment process. This ensures that the credentials are properly protected and managed.
Which of the following is a benefit of using cloud services?;High availability;CapEx;Increased maintenance;Less agility;A;Cloud services offer high availability by ensuring minimal downtime through redundancy and failover strategies.
What is the pricing model where customers are charged for services based on their usage?;Upfront payment;Pay-as-you-go;Volume licensing;Free tier;B;In the pay-as-you-go model  users only pay for the resources they use  making it a flexible and cost-effective option.
What Azure service is best for running fault-tolerant applications without worrying about the underlying infrastructure?;Azure Virtual Machines;Azure Functions;Azure Kubernetes Service;Azure Storage;B;Azure Functions is a serverless compute service that enables event-driven code execution without managing servers.
Which cloud deployment solution is used for Azure virtual machines and Azure SQL databases? To answer  select the appropriate options in the answer area. NOTE: Each correct selection is worth one point.;Infrastructure as a service (IaaS);Platform as a service (PaaS);Managed Service;Serverless Computing;A;Azure virtual machines are Infrastructure as a Service (IaaS). Infrastructure as a Service is the most flexible category of cloud services. It aims to give you complete control over the hardware that runs your application (IT infrastructure servers and virtual machines (VMs)  storage  networks  and operating systems). Instead of buying hardware  with IaaS  you rent it. Azure SQL databases are Platform as a Service (PaaS). Azure SQL Database is a fully managed Platform as a Service (PaaS) Database Engine that handles most of the database management functions such as upgrading  patching  backups  and monitoring without user involvement. Azure SQL Database is always running on the latest stable version of SQL Server Database Engine and patched OS with 99.99% availability. PaaS capabilities that are built-in into Azure SQL database enable you to focus on the domain specific database administration and optimization activities that are critical for your business. Reference: https://docs.microsoft.com/en-gb/learn/modules/principles-cloud-computing/5-types-of-cloud-services https://docs.microsoft.com/en-us/azure/sql-database/sql-database-paas-index
You have been informed by your superiors of the company's intentions to automate server deployment to Azure. There is  however  some concern that administrative credentials could be uncovered during this process. You are required to make sure that during the deployment  the administrative credentials are encrypted using a suitable Azure solution. Solution: You recommend the use of Azure Multi-Factor Authentication (MFA).;Yes;No;Not enough info;Ambiguous scenario;B;No  the recommended solution of Azure Multi-Factor Authentication (MFA) does not encrypt administrative credentials during server deployment to Azure. MFA is a solution that adds an additional layer of authentication to the login process  and it can help prevent unauthorized access to resources. To encrypt administrative credentials during server deployment to Azure  a better solution would be to use Azure Key Vault. Azure Key Vault is a cloud-based service that provides secure storage of keys  secrets  and certificates. By storing the administrative credentials in Azure Key Vault  they can be encrypted and protected from unauthorized access.
Which of the following are the types of customers that can make use of Azure Government?;A government contractor from any country.;A government entity from any country.;A United States government contractor.;A United States government entity.;D;Azure Government is specifically designed for use by United States government entities. It provides a separate instance of Azure with additional compliance certifications and security measures tailored to U.S. government requirements. While U.S. government contractors may sometimes have access under certain circumstances  the primary and most appropriate user of Azure Government would be a United States government entity itself.
Your company has an Azure Active Directory (Azure AD) environment. Users occasionally connect to Azure AD via the Internet. You have been tasked with making sure that users who connect to Azure AD via the internet from an unidentified IP address  are automatically encouraged to change passwords. Solution: You configure the use of Azure AD Identity Protection. Does the solution meet the goal?;Yes  Azure AD Identity Protection can enforce password changes based on risk detection.;No  Azure AD Identity Protection does not handle password changes.;Yes  but it only monitors login activity  not password changes.;No  you need to configure Conditional Access policies.;A;Azure AD Identity Protection can detect risky sign-ins  such as those from unidentified IP addresses  and enforce a password change based on risk policies.
Your company has an Azure Active Directory (Azure AD) environment. Users occasionally connect to Azure AD via the Internet. You have been tasked with making sure that users who connect to Azure AD via the internet from an unidentified IP address  are automatically encouraged to change passwords. Solution: You configure the use of Azure AD Privileged Identity Management. Does the solution meet the goal?;Yes  Azure AD Privileged Identity Management can enforce password changes based on IP addresses.;No  Azure AD Privileged Identity Management is not intended for password management.;Yes  it monitors high-risk activities such as sign-ins and requires password changes.;No  you need to use Identity Protection for this purpose.;B;Azure AD Privileged Identity Management is primarily designed to manage  control  and monitor access to privileged roles  but not for triggering password changes. Azure AD Identity Protection should be used for this scenario.
You are planning a strategy to deploy numerous web servers and database servers to Azure. This strategy should allow for connection types between the web servers and database servers to be controlled. Solution: You include a local network gateway in your strategy. Does the solution meet the goal?;Yes  a local network gateway allows connection control between servers.;No  a local network gateway is for on-premises networks connecting to Azure.;Yes  because it provides network control through Azure.;No  because it doesn’t apply to internal Azure resources.;B;A local network gateway is used to represent your on-premises network in Azure  not for controlling connections between Azure resources such as web servers and database servers.
Your company's Active Directory forest includes thousands of user accounts. You have been informed that all network resources will be migrated to Azure. Thereafter  the on-premises data center will be retired. You are required to employ a strategy that reduces the effect on users  once the planned migration has been completed. Solution: You plan to require Azure Multi-Factor Authentication (MFA). Does the solution meet the goal?;Yes  Azure MFA ensures a seamless migration for users.;No  Azure MFA is for security purposes and won’t affect the migration process.;Yes  because it strengthens user authentication post-migration.;No  you need to consider password synchronization or SSO for reducing the effect on users.;D;While Azure MFA adds an extra layer of security  it does not reduce the migration impact on users. Password synchronization or SSO would address user impact more directly.
A platform as a service (PaaS) solution that hosts web apps in Azure provides full control of the operating systems that host applications.;Yes, full control is available.;No, control of the operating system is limited in PaaS.;Yes, but only for specific Azure plans.;No, because PaaS abstracts the OS management.;D;In a PaaS solution  the operating system management is handled by Azure  not the user. PaaS abstracts the OS layer  so you don’t have full control over it.
A platform as a service (PaaS) solution that hosts web apps in Azure provides the ability to scale the platform automatically.;Yes  automatic scaling is supported.;No  manual scaling is required.;Yes  but only in some Azure regions.;No  automatic scaling is only available for IaaS solutions.;A;PaaS solutions in Azure provide the ability to scale applications automatically  which is one of the core benefits of using PaaS.
A platform as a service (PaaS) solution that hosts web apps in Azure provides professional development services to continuously add features to custom applications.;Yes  Azure provides development services.;No  Azure provides infrastructure  but the development is the user’s responsibility.;Yes  but only through external consultants.;No  Azure doesn’t provide continuous development services.;B;Azure PaaS provides the platform and infrastructure  but development services and continuous improvement of the application features are the responsibility of the user or external development teams.
Your company hosts an accounting application named App1 that is used by all the customers of the company. App1 has low usage during the first three weeks of each month and very high usage during the last week of each month. Which benefit of Azure Cloud Services supports cost management for this type of usage pattern?;high availability;high latency;cost predictability;resource allocation;C;Elasticity in this case is the ability to provide additional compute resource when needed and reduce the compute resource when not needed to reduce costs. Autoscaling is an example of elasticity. Elastic computing is the ability to quickly expand or decrease computer processing  memory and storage resources to meet changing demands without worrying about capacity planning and engineering for peak usage. Typically controlled by system monitoring tools  elastic computing matches the amount of resources allocated to the amount of resources actually needed without disrupting operations. With cloud elasticity  a company avoids paying for unused capacity or idle resources and doesn't have to worry about investing in the purchase or maintenance of additional resources and equipment. References: https://azure.microsoft.com/en-gb/overview/what-is-elastic-computing/
You plan to migrate a web application to Azure. The web application is accessed by external users. You need to recommend a cloud deployment solution to minimize the amount of administrative effort used to manage the web application. What should you include in the recommendation?;Software as a Service (SaaS);Platform as a Service (PaaS);Dedicated Hosting;Private Cloud;B;Azure App Service is a platform-as-a-service (PaaS) offering that lets you create web and mobile apps for any platform or device and connect to data anywhere  in the cloud or on-premises. App Service includes the web and mobile capabilities that were previously delivered separately as Azure Websites and Azure Mobile Services. References: https://docs.microsoft.com/en-us/azure/security/fundamentals/paas-applications-using-app-services
You have an on-premises network that contains 100 servers. You need to recommend a solution that provides additional resources to your users. The solution must minimize capital and operational expenditure costs. What should you include in the recommendation?;a complete migration to the public cloud;an additional data center;public cloud only;dedicated servers;D;A hybrid cloud is a combination of a private cloud and a public cloud. Capital expenditure is the spending of money up-front for infrastructure such as new servers. With a hybrid cloud  you can continue to use the on-premises servers while adding new servers in the public cloud (Azure for example). Adding new servers in Azure minimizes the capital expenditure costs as you are not paying for new servers as you would if you deployed new server on-premises. Incorrect Answers: A: A complete migration of 100 servers to the public cloud would involve a lot of operational expenditure (the cost of migrating all the servers). B: An additional data center would involve a lot of capital expenditure (the cost of the new infrastructure). C: A private cloud is hosted on on-premises servers to this would involve a lot of capital expenditure (the cost of the new infrastructure to host the private cloud). Reference: https://docs.microsoft.com/en-gb/learn/modules/principles-cloud-computing/4-cloud-deployment-models
For each of the following statements  select Yes if the statement is true. Otherwise  select No. NOTE: Each correct selection is worth one point.;To achieve a hybrid cloud model  a company must always migrate from a private cloud model.;A company can extend the capacity of its internal network by using the public cloud.;Only guest users can access resources in the cloud.;Only external users can access resources in the cloud.;B;It is not true that a company must always migrate from a private cloud model to implement a hybrid cloud. You could start with a public cloud and then combine that with an on-premise infrastructure to implement a hybrid cloud. A company can extend the capacity of its internal network by using the public cloud. This is very common. When you need more capacity  rather than pay out for new on-premises infrastructure  you can configure a cloud environment and connect your on-premises network to the cloud environment by using a VPN. It is not true that only guest users can access cloud resources. You can give anyone with an account in Azure Active Directory access to the cloud resources. There are many authentication scenarios but a common one is to replicate your on-premises Active Directory accounts to Azure Active Directory and provide access to the Azure Active Directory accounts. Another commonly used authentication method is 'Federation' where authentication for access to cloud resources is passed to another authentication provider such as an on-premises Active Directory. https://azure.microsoft.com/en-gb/overview/what-is-hybrid-cloud-computing/
You plan to migrate several servers from an on-premises network to Azure. What is an advantage of using a public cloud service for the servers over an on-premises network?;The public cloud is owned by the public  NOT a private corporation;The public cloud is a crowd-sourcing solution that provides corporations with the ability to enhance the cloud;All public cloud resources can be accessed for free;The public cloud offers unlimited storage capacity;D;The public cloud is a shared entity whereby multiple corporations each use a portion of the resources in the cloud. The hardware resources (servers  infrastructure etc.) are managed by the cloud provider. Multiple companies create resources such as virtual machines and virtual networks on the hardware resources. Incorrect Answers: A: The public cloud is not owned by the public. In the case of Microsoft Azure  the cloud is owned by Microsoft. B: The public cloud is not a crowd-sourcing solution. In the case of Microsoft Azure  the cloud is owned by Microsoft. C: It is not true that public cloud resources can be freely accessed by every member of the public. You pay for a cloud subscription and create accounts for your users to access your cloud resources. No one can access your cloud resources until you create user accounts and provide the appropriate access permissions.
To complete the sentence  select the appropriate option in the answer area. Azure Site Recovery provides for virtual machines.;fault tolerance;disaster recovery;automatic scaling;unlimited storage;B;Azure Site Recovery helps ensure business continuity by keeping business apps and workloads running during outages. Site Recovery replicates workloads running on physical and virtual machines (VMs) from a primary site to a secondary location.
In which type of cloud model are all the hardware resources owned by a third-party and shared between multiple tenants?;private;hybrid;public;community;C;Microsoft Azure  Amazon Web Services and Google Cloud are three examples of public cloud services. Microsoft  Amazon and Google own the hardware. The tenants are the customers who use the public cloud services.
Select the answer that correctly completes the sentence;An availability set;Azure Spot Virtual Machines;Azure Virtual Desktop;Azure Virtual Machine Scale Sets;C;Azure Virtual Desktop  formerly known as Windows Virtual Desktop  is a Microsoft Azure-based system for virtualizing its Windows operating systems  providing virtualized desktops and applications securely in the cloud. It is aimed at enterprise customers rather than at individual users.
You have 1 000 virtual machines hosted on the Hyper-V hosts in a data center. You plan to migrate all the virtual machines to an Azure pay-as-you-go subscription. You need to identify which expenditure model to use for the planned Azure solution.;operational;elastic;capital;scalable;A;One of the major changes that you will face when you move from on-premises cloud to the public cloud is the switch from capital expenditure (buying hardware) to operating expenditure (paying for service as you use it). This switch also requires more careful management of your costs. The benefit of the cloud is that you can fundamentally and positively affect the cost of a service you use by merely shutting down or resizing it when it's not needed.
Match the Azure services benefits to the correct descriptions. Instructions: To answer  drag the appropriate benefit from the column on the left to its description on the right. Each benefit may be used once  more than once  or not at all. NOTE: Each correct match is worth one point.;A cloud service that remains available after a failure occurs.;A cloud service that can be recovered after a failure occurs;A cloud service that performs quickly when demand increases;A cloud service that can be accessed quickly from the Internet <=> Fault Tolerance;A;Fault tolerance is the ability of a service to remain available after a failure of one of the components of the service. For example  a service running on multiple servers can withstand the failure of one of the servers.
Match the Azure services benefits to the correct descriptions. Instructions: To answer  drag the appropriate benefit from the column on the left to its description on the right. Each benefit may be used once  more than once  or not at all. NOTE: Each correct match is worth one point.;A cloud service that remains available after a failure occurs;A cloud service that can be recovered after a failure occurs.;A cloud service that performs quickly when demand increases;A cloud service that can be accessed quickly from the Internet <=> Disaster Recovery;B;Disaster recovery is the recovery of a service after a failure. For example  restoring a virtual machine from backup after a virtual machine failure.
Match the Azure services benefits to the correct descriptions. Instructions: To answer  drag the appropriate benefit from the column on the left to its description on the right. Each benefit may be used once  more than once  or not at all. NOTE: Each correct match is worth one point.;A cloud service that remains available after a failure occurs;A cloud service that can be recovered after a failure occurs;A cloud service that performs quickly when demand increases.;A cloud service that can be accessed quickly from the Internet <=> Scalability;C;Dynamic scalability is the ability for compute resources to be added to a service when the service is under heavy load. For example  in a virtual machine scale set  additional instances of the virtual machine are added when the existing virtual machines are under heavy load.
Match the Azure services benefits to the correct descriptions. Instructions: To answer  drag the appropriate benefit from the column on the left to its description on the right. Each benefit may be used once  more than once  or not at all. NOTE: Each correct match is worth one point.;A cloud service that remains available after a failure occurs;A cloud service that can be recovered after a failure occurs;A cloud service that performs quickly when demand increases;A cloud service that can be accessed quickly from the Internet <=> Latency;D;Latency is the time a service takes to respond to requests. Low latency means low response time  resulting in quicker access to the service.
For each of the following statements  select Yes if the statement is true. Otherwise  select No.;To implement a hybrid cloud model  a company must have an internal network.;A company can extend the computing resources of its internal network by using a hybrid cloud.;In a public cloud model  only guest users at your company can access the resources in the cloud.;An Azure environment cannot be used to extend internal resources;A;It is not true that a company must always migrate from an internal network to implement a hybrid cloud. You could start with a public cloud and then combine that with on-premise infrastructure to implement a hybrid cloud.
For each of the following statements  select Yes if the statement is true. Otherwise  select No.;To implement a hybrid cloud model  a company must have an internal network.;A company can extend the computing resources of its internal network by using a hybrid cloud.;In a public cloud model  only guest users at your company can access the resources in the cloud.;In the public cloud  anyone can access the environment without authentication;B;A company can extend the computing resources of its internal network by using the public cloud. You can configure a cloud environment and connect it to your on-premises network via VPN to increase capacity.
For each of the following statements  select Yes if the statement is true. Otherwise  select No.;To implement a hybrid cloud model  a company must have an internal network.;A company can extend the computing resources of its internal network by using a hybrid cloud.;In a public cloud model  only guest users at your company can access the resources in the cloud.;Only internal users with explicit permissions can access public cloud resources;D;It is not true that only guest users can access cloud resources. Any user with an account in Azure Active Directory can be granted access. Federation or replication of on-premises Active Directory can be used for authentication as well.
For each of the following statements  select Yes if the statement is true. Otherwise  select No.;A Platform as a Service (PaaS) solution provides full control of operating systems that host applications.;A Platform as a Service (PaaS) solution provides additional memory to apps by changing pricing tiers.;A Platform as a Service (PaaS) solution can automatically scale the number of instances.;A PaaS solution cannot provide high availability out of the box.;D;A PaaS solution does not provide full control over the operating systems  as the infrastructure is managed by the cloud provider. Changing pricing tiers typically does not increase memory  but automatic scaling is supported in many PaaS environments.
Your company has an on-premises network that contains multiple Azure virtual machines run on Hyper-V physical servers. The physical servers are owned and managed by Microsoft. .;Replacing failed server hardware;Backing up application data;Managing physical server security;Updating server operating systems;A;As an Azure customer you have no access to the physical servers. Microsoft manages the replacement of failed server hardware so you don't need to.
Your company has an on-premises network that contains multiple servers, thus Microsoft manages the security of the physical servers that host Azure VMs.;Replacing failed server hardware;Backing up application data;Managing physical server security;Updating server operating systems;C;This eliminates the need for managing physical server security.
For each of the following statements  select Yes if the statement is true. Otherwise  select No.;Azure Pay-As-You-Go pricing is an example of CapEx.;Paying electricity for your datacenter is an example of OpEx.;Deploying your own datacenter is an example of CapEx.;Paying for physical servers in Azure is a typical CapEx model.;B;With the pay-as-you-go model  you pay for services as you use them. This is OpEx (Operational Expenditure)  not CapEx.
For each of the following statements  select Yes if the statement is true. Otherwise  select No.;Azure Pay-As-You-Go pricing is an example of CapEx.;Paying electricity for your datacenter is an example of OpEx.;Deploying your own datacenter is an example of CapEx.;Paying for physical servers in Azure is a typical CapEx model.;B;Paying for electricity in your own datacenter is classified as OpEx.
For each of the following statements  select Yes if the statement is true. Otherwise  select No.;Azure Pay-As-You-Go pricing is an example of CapEx.;Paying electricity for your datacenter is an example of OpEx.;Deploying your own datacenter is an example of CapEx.;Paying for physical servers in Azure is a typical CapEx model.;A;Deploying your own datacenter involves paying for infrastructure upfront  which is an example of CapEx (Capital Expenditure).
You plan to provision Infrastructure as a Service (IaaS) resources in Azure.;an Azure web app;an Azure virtual machine;an Azure logic app;an Azure SQL database;B;An Azure virtual machine is an example of Infrastructure as a Service (IaaS). The other options (Azure web app  logic app  and SQL database) are Platform as a Service (PaaS).
To which cloud models can you deploy physical servers?;private cloud and hybrid cloud only;private cloud only;private cloud  hybrid cloud and public cloud;hybrid cloud only;A;A private cloud is on-premises so you can deploy physical servers. A hybrid cloud is a mix of on-premise and public cloud resources. You can deploy physical servers on-premises.
Match the cloud model to the correct advantage.;Public Cloud;Private Cloud;Hybrid Cloud;Provides a choice to use on-premises or cloud-based resources;C;A hybrid cloud is a mix of public cloud resources and on-premises resources. Therefore  you have a choice to use either.
Match the cloud model to the correct advantage.;Public Cloud;Private Cloud;Hybrid Cloud;No required capital expenditure;A;With a public cloud  there is no capital expenditure on server hardware etc. You only pay for cloud resources that you use as you use them.
Match the cloud model to the correct advantage.;Public Cloud;Private Cloud;Hybrid Cloud;Provides complete control over security;B;A private cloud exists on premises  so you have complete control over security.
For each of the following statements  select Yes if the statement is true. Otherwise select No.;Yes;No;Hybrid clouds use virtual servers in the public cloud;Not enough info;A;You cannot add physical servers to the public cloud. You can only deploy virtual servers in the public cloud. This would create a hybrid cloud.
For each of the following statements  select Yes if the statement is true. Otherwise select No.;Yes;No;Hybrid clouds require public cloud resources.;Not enough info;B;A hybrid cloud is a combination of private and public cloud resources. You must deploy resources to the public cloud to create a hybrid cloud.
For each of the following statements  select Yes if the statement is true. Otherwise select No.;Yes;No;Private clouds must always be disconnected from the internet;Not enough info;B;Private clouds can be connected to the Internet. The term "private" refers to how resources are managed, not their connectivity.
For each of the following statements  select Yes if the statement is true. Otherwise select No.;Yes;No;A PaaS solution allows full control of the OS;Not enough info;A PaaS solution does not provide any control of the OS;A;A PaaS solution does not provide access to the operating system. The Azure Web Apps service provides an environment for you to host your web applications.
For each of the following statements  select Yes if the statement is true. Otherwise select No.;Yes;No;A PaaS solution can provide additional memory by changing pricing tiers;Not enough info;A PaaS solution can be configured to automatically scale based on demand;B;A PaaS solution that hosts web apps in Azure does provide the ability to scale automatically  which is known as autoscaling.
For each of the following statements  select Yes if the statement is true. Otherwise select No.;Yes;No;A PaaS solution requires manual scaling only;Not enough info;A PaaS solution automatically scales based on demand;B;A PaaS solution can automatically scale the number of instances based on demand.
Your company plans to migrate all its data and resources to Azure.;Yes;No;Virtual machines can be PaaS;SQL databases are only IaaS;B;Virtual machines are examples of Infrastructure as a Service (IaaS)  not Platform as a Service (PaaS). PaaS includes a complete environment for development and deployment.
Your company plans to deploy several custom applications to Azure. The applications will provide invoicing services to the customers of the company. Each application will have several prerequisite applications and services installed.;Software as a Service (SaaS);Platform as a Service (PaaS);Use Azure App Services for installation;Infrastructure as a Service (IaaS);D;Infrastructure as a Service (IaaS) is needed because custom applications with prerequisite services require control over the infrastructure to manage software and services.
Building a data center infrastructure is an example of operational expenditure (OpEx) costs.;Yes;No;This is an example of a hybrid cost;This is an example of capital expenditure (CapEx);B;Building a data center infrastructure is considered capital expenditure (CapEx) because it involves a one-time  upfront investment in physical assets  not ongoing operational costs.
Monthly salaries for technical personnel are an example of operational expenditure (OpEx) costs.;Yes;No;This is an example of capital expenditure (CapEx);This is an example of hybrid cost;A;Operational expenditure (OpEx) includes ongoing operational costs like salaries of personnel that maintain operations.
Leasing software is an example of operational expenditure (OpEx) costs.;Yes;No;This is an example of capital expenditure (CapEx);This is an example of a hybrid cost;A;Leasing software is classified as an operational expenditure (OpEx) due to the recurring costs associated with leasing rather than a one-time investment.
With software as a service (SaaS)  you must apply software updates.;Yes;No;SaaS services automatically update;SaaS requires manual updates like IaaS;B;With SaaS  the cloud provider is responsible for maintaining and updating the software  so you do not need to apply software updates.
With infrastructure as a service (IaaS)  you must install the software that you want to use.;Yes;No;Software is pre-installed in IaaS;IaaS does not require user installations;A;With IaaS  you are responsible for managing and installing the software that runs on the infrastructure.
Azure Backup is an example of platform as a service (PaaS).;Yes;No;Azure Backup is SaaS;Azure Backup is IaaS;B;Azure Backup is classified as a service in the infrastructure space  not PaaS.
You can create a resource group inside of another resource group.;Yes;No;Resource groups are nested;Resource groups are independent;B;Resource groups are independent and cannot be created inside one another.
An Azure virtual machine can be in multiple resource groups.;Yes;No;VMs can belong to multiple groups;Multiple VMs can belong to one group;B;Each Azure virtual machine can only belong to one resource group at a time.
A resource group can contain resources from multiple Azure regions.;Yes;No;Each region has its own resource group;Resources are region-locked;A;A resource group can indeed contain resources from multiple Azure regions.
You can assign a: _________ to every Azure Resource;blueprint;lock;policy;service endpoint;B;Locks can be assigned to every Azure resource to prevent either accidental deletion or creation of resources inside a resource group.
Your company plans to migrate all its data and resources to Azure. The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company's migration plan. What should you create?;Azure virtual machines  Azure SQL databases  and Azure Storage accounts.;an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed.;an Azure App Service and Azure SQL databases.;Azure storage accounts and web server in Azure virtual machines.;C;Azure App Service and Azure SQL databases are examples of Azure PaaS solutions. Platform as a Service (PaaS) enables organizations to deploy their applications without managing the underlying infrastructure. Azure App Service is a fully managed PaaS for web applications  and Azure SQL Database is a relational database service built on PaaS  both of which fulfill the company's requirement to use only PaaS solutions. IaaS solutions like Azure Virtual Machines and Azure Storage Accounts  on the other hand  do not meet this requirement as they involve management of the underlying infrastructure.
